OBJECTID_taxizones,Borough,area,UHF_NEIGH
7,30,36980509.713963695,Long Island City - Astoria
8,30,2661636.923101588,Long Island City - Astoria
10,37,42962548.00787909,Jamaica
17,19,13673473.136485063,Williamsburg - Bushwick
25,10,12546359.069359673,Downtown  - Heights - Slope
28,37,29067600.637121182,Jamaica
33,10,10387089.6899457,Downtown  - Heights - Slope
34,10,10917491.17732723,Downtown  - Heights - Slope
35,11,32301411.772472493,Bedford Stuyvesant - Crown Heights
36,19,23375330.51931132,Williamsburg - Bushwick
37,19,31918096.074222066,Williamsburg - Bushwick
40,10,11009638.364660673,Downtown  - Heights - Slope
41,21,14430907.694732493,Central Harlem - Morningside Heights
42,21,24151298.14399801,Central Harlem - Morningside Heights
43,1,38210256.25112472,
49,11,11128267.221898248,Bedford Stuyvesant - Crown Heights
52,10,4567364.464888411,Downtown  - Heights - Slope
54,10,5332531.35068879,Downtown  - Heights - Slope
56,31,18221944.05279774,West Queens
57,31,1790606.041195254,West Queens
61,11,51618329.98065738,Bedford Stuyvesant - Crown Heights
65,10,8264536.35969139,Downtown  - Heights - Slope
66,10,7490299.762059524,Downtown  - Heights - Slope
70,31,19726946.865242876,West Queens
74,22,20814481.40305917,East Harlem
75,22,16634515.496132348,East Harlem
80,9,26371545.014369678,Greenpoint
82,31,32369300.69645549,West Queens
83,31,21956022.63251699,West Queens
95,34,57661359.015780404,Ridgewood - Forest Hills
96,34,54815310.10706802,Ridgewood - Forest Hills
97,10,14895276.344511827,Downtown  - Heights - Slope
102,34,29960993.345459864,Ridgewood - Forest Hills
106,10,11482281.936924793,Downtown  - Heights - Slope
112,9,35225397.186716944,Greenpoint
116,20,14862759.03428327,Washington Heights - Inwood
120,20,7755760.675432426,Washington Heights - Inwood
122,37,22887148.312614415,Jamaica
127,20,14175000.487671098,Washington Heights - Inwood
128,20,9739874.014819335,Washington Heights - Inwood
129,31,47842299.757831804,West Queens
130,37,47124453.44211306,Jamaica
131,37,37634100.64686193,Jamaica
132,1,189693805.41042745,
138,1,29783384.524090864,
145,30,27551403.65196698,Long Island City - Astoria
146,30,10562275.68741284,Long Island City - Astoria
152,21,6089348.6816372685,Central Harlem - Morningside Heights
157,31,35561169.916714326,West Queens
160,34,50840620.03685535,Ridgewood - Forest Hills
166,21,11691506.551225575,Central Harlem - Morningside Heights
173,31,18001079.75140116,West Queens
177,11,19513671.05890879,Bedford Stuyvesant - Crown Heights
179,30,15469919.136508746,Long Island City - Astoria
181,10,29449795.61575396,Downtown  - Heights - Slope
189,11,8294163.187846273,Bedford Stuyvesant - Crown Heights
193,30,12749202.661714733,Long Island City - Astoria
194,22,21861548.663747273,East Harlem
195,10,22671625.114201855,Downtown  - Heights - Slope
196,34,18814126.580164395,Ridgewood - Forest Hills
198,34,48038346.2926123,Ridgewood - Forest Hills
199,31,16376275.470116138,West Queens
205,37,68968750.01803665,Jamaica
207,31,4512727.387801396,West Queens
215,37,39326259.005377755,Jamaica
217,9,10062307.53877612,Greenpoint
218,37,23672967.21460055,Jamaica
223,30,34444515.80080315,Long Island City - Astoria
225,19,22602741.600950833,Williamsburg - Bushwick
226,30,46317378.674429744,Long Island City - Astoria
243,20,22626348.06019969,Washington Heights - Inwood
244,20,22791853.137134083,Washington Heights - Inwood
253,31,5799604.475275367,West Queens
255,9,14724724.833987491,Greenpoint
256,9,13795679.769193366,Greenpoint
260,31,42637119.0291951,West Queens
