OBJECTID_taxizones,Borough,area,UHF_NEIGH
4,28,8020234.6226264415,Union Square - Lower East Side
12,29,1080821.3965086218,Lower Manhattan
13,29,4777897.893038144,Lower Manhattan
24,23,4226125.573885082,Upper West Side
41,21,14430907.694732493,Central Harlem - Morningside Heights
42,21,24151298.14399801,Central Harlem - Morningside Heights
43,1,38210256.25112472,
45,29,3697579.155526615,Lower Manhattan
48,25,9512871.478483802,Chelsea - Clinton
50,25,8545290.559890972,Chelsea - Clinton
68,25,11212738.291850805,Chelsea - Clinton
74,22,20814481.40305917,East Harlem
75,22,16634515.496132348,East Harlem
79,28,10894899.0397842,Union Square - Lower East Side
87,29,4058187.8125929674,Lower Manhattan
88,29,2540148.812121506,Lower Manhattan
90,25,5584317.082814791,Chelsea - Clinton
100,25,3782271.7856891034,Chelsea - Clinton
105,29,7230736.328792358,Lower Manhattan
107,28,4077742.945040008,Union Square - Lower East Side
113,28,3933434.9379700474,Union Square - Lower East Side
114,27,4004511.550411094,Greenwich Village - Soho
116,20,14862759.03428327,Washington Heights - Inwood
120,20,7755760.675432426,Washington Heights - Inwood
125,27,4099930.013059229,Greenwich Village - Soho
127,20,14175000.487671098,Washington Heights - Inwood
128,20,9739874.014819335,Washington Heights - Inwood
137,26,6883802.701530184,Gramercy Park -  Murray Hill
140,24,7199298.015554685,Upper East Side
141,24,7358012.123580593,Upper East Side
142,23,7314751.5803251695,Upper West Side
143,23,7632837.705181554,Upper West Side
144,27,4793850.503990824,Greenwich Village - Soho
148,28,7040734.490913863,Union Square - Lower East Side
151,23,8969304.270940468,Upper West Side
152,21,6089348.6816372685,Central Harlem - Morningside Heights
153,20,6321.541733892816,Washington Heights - Inwood
158,27,7058768.7394887395,Greenwich Village - Soho
161,25,3751973.804191345,Chelsea - Clinton
162,26,4834224.157280132,Gramercy Park -  Murray Hill
163,25,3283299.9899515915,Chelsea - Clinton
164,25,3736360.1520333625,Chelsea - Clinton
166,21,11691506.551225575,Central Harlem - Morningside Heights
170,26,7371198.411641389,Gramercy Park -  Murray Hill
186,25,3742467.602674393,Chelsea - Clinton
194,22,21861548.663747273,East Harlem
202,24,6253112.052676641,Upper East Side
209,29,2663708.4797107372,Lower Manhattan
211,27,4012082.7374411793,Greenwich Village - Soho
224,28,4294359.663033908,Union Square - Lower East Side
229,26,6417642.511468004,Gramercy Park -  Murray Hill
230,25,5661414.245116176,Chelsea - Clinton
231,27,8019978.5251547955,Greenwich Village - Soho
232,28,15019454.12718046,Union Square - Lower East Side
233,26,6131080.140721824,Gramercy Park -  Murray Hill
234,26,3730039.4564642166,Gramercy Park -  Murray Hill
236,24,10377525.138620233,Upper East Side
237,24,9157053.366360024,Upper East Side
238,23,12279293.802484782,Upper West Side
239,23,13070087.98288892,Upper West Side
243,20,22626348.06019969,Washington Heights - Inwood
244,20,22791853.137134083,Washington Heights - Inwood
246,25,12225774.154523218,Chelsea - Clinton
249,27,5811839.165879323,Greenwich Village - Soho
261,29,3468847.4785047784,Lower Manhattan
262,24,6759976.475345736,Upper East Side
263,24,6627748.60345286,Upper East Side
